symbol,hurst_exponent
TEAM,0.2394668487974759
INTU,0.24554985742405971
QTWO,0.26297776682707286
BKNG,0.27181918426568374
ABNB,0.272017001360695
ROP,0.2885242234920754
ESNT,0.2932266207297166
HNI,0.29555191647797063
LOW,0.2955715703641685
DNOW,0.29652358638889553
CPRT,0.29793870279588197
ECL,0.2999802708938985
MPWR,0.3002660275740084
VRSK,0.3002999422429918
CSWI,0.3004254943972775
SPGI,0.30580147686059145
DY,0.30780714443232915
ANSS,0.31031904715593167
ADP,0.31143041499969953
BA,0.3184404404178055
SWKS,0.32173533244406666
ACN,0.3262196062547235
PLD,0.32708490029111215
GE,0.32813340021899046
UNH,0.32926672139903757
QRVO,0.33445602674123603
PATK,0.3347467704008145
AMWD,0.33521978750863335
ASTE,0.3399179116257427
MCHP,0.3402154935999684
LIN,0.34121139359843433
DIS,0.34462245261107183
IBM,0.3458861234740867
MO,0.3459868394815594
BIDU,0.34768770214250205
TXN,0.34914322135326153
ADI,0.34976856916465304
JNJ,0.35105450958917556
CHTR,0.35383068398854545
HD,0.35525428955605226
EOG,0.35606015771236516
CTSH,0.35867903209873897
ZS,0.3599418538746362
CSGS,0.36029315477084634
NXPI,0.3621380352202896
GMS,0.3623318362720856
CRM,0.36384234897890166
CRS,0.36405160056488034
ENSG,0.36777446168596567
AGM,0.36785658560887585
PPBI,0.368416793861789
TRV,0.3691002372508902
HES,0.37097130086176083
MUSA,0.3717637841399697
KAI,0.37200705160768394
JPM,0.3722871795446599
USLM,0.37296513795379777
T,0.3737448308596304
MPC,0.3745394368560673
WBA,0.3753043766756414
NHC,0.3766221006145618
CRWD,0.37795099992131004
TENB,0.37800309925878794
WDAY,0.37932718762237627
F,0.3794674299543182
CVX,0.3799061384615664
CENTA,0.380780532922106
ABG,0.3814249364127321
SO,0.3818417266805359
META,0.38194020892152025
ODFL,0.38231827836061383
SKYW,0.38342460221543345
VSEC,0.38347025422407227
IDXX,0.38402228119369564
TMUS,0.38448676079671895
NEE,0.3847512480924765
LULU,0.38623360558210895
VZ,0.3896031057036503
DASH,0.390178114952467
PAYX,0.39119505766530704
CAT,0.39316969682542663
LLY,0.39325215187998214
EXAS,0.3933998284900229
GS,0.3939483172587641
CALM,0.39490055782181954
PYPL,0.3949894998623001
NSIT,0.3961767520484686
TSLA,0.39639353050921206
HQY,0.3967188681777871
PEP,0.39734642038153245
ZM,0.3976209034041342
CASY,0.3981651738388962
COST,0.39943812739875817
V,0.39984991799413455
KLAC,0.4003491792131639
AMAT,0.40150885111193896
GTES,0.4018621523798923
CXT,0.40188899012783735
C,0.4019353352721902
UFPI,0.40194819907913
AXP,0.40199623824297914
AVGO,0.40243774026631396
MA,0.402515164794456
MATX,0.40266106188080536
BMI,0.4026737431128782
ABBV,0.4042106425154488
LRCX,0.40499820099612205
SHW,0.4050768499021697
FTDR,0.40579789244960446
AIN,0.4066833415025549
BCPC,0.40680338977828157
GVA,0.4068041787356416
SXI,0.406974508290502
RBC,0.407286558114933
POWL,0.40775240715443617
NOG,0.408221319837337
LMT,0.40902590433531816
SHOO,0.41036593325262494
HURN,0.4105485373027516
ISRG,0.41061467465724183
MU,0.4114056254623365
BAC,0.4117357928131131
NPO,0.4122959177658017
WFC,0.4125513962109288
KVUE,0.4130523459717193
TMO,0.41359387965998407
ICFI,0.41432603880214447
DLTR,0.41461866499082595
MSFT,0.41469498440311753
WTS,0.4152757079331567
PDD,0.4154467210507492
OKTA,0.41610136238116524
PM,0.41671781724704393
VLO,0.4175095853015337
FTNT,0.4176534606353854
MRK,0.41814029769550426
HWKN,0.41917427317569167
OXY,0.42018960276111966
CMCSA,0.4215833394154144
DDOG,0.4226471212514979
TTWO,0.4228799427692825
ON,0.4228813289132079
CVS,0.42298348804606484
AMGN,0.4231475402384424
TRN,0.42320134949698207
MS,0.4239342670411539
ALKT,0.42431876550795095
AMD,0.4243424693427874
SFNC,0.42444998114267213
SBUX,0.42502098924333925
AMZN,0.42650451832163
INTC,0.4277745202713107
BSX,0.4299328899375955
DUK,0.4301938616309386
CVCO,0.43049969136188077
CVLT,0.4311778359228162
ATKR,0.43266687170310447
MAR,0.43469738945278885
CSCO,0.4349891443427586
NOW,0.43519797076624644
EA,0.43579046973305846
ABT,0.4360185854595481
JD,0.4363700252381662
APD,0.4366431156997453
CNS,0.43687655590633934
GOOGL,0.4375154494048589
GOOG,0.4380588454532605
